CUT,Municipality,Province,Region,Health and social welfare,Economy and resources,Education,CDI,Ranking,Ranges,SVI,SPI
15101,Arica,Arica,Arica y Parinacota,0.8896,0.2322,0.763,0.5401,37,Medio alto,0.851635052,
15102,Camarones,Arica,Arica y Parinacota,0.3901,0.0556,0.4317,0.2108,331,Bajo,0.776785714,
15201,Putre,Parinacota,Arica y Parinacota,0.5063,0.065,0.534,0.26,302,Bajo,0.905405405,
15202,General Lagos,Parinacota,Arica y Parinacota,0.2656,0.022,0.5127,0.1443,342,Bajo,0.854545455,
1101,Iquique,Iquique,Tarapacá,0.8957,0.3218,0.7469,0.5993,12,Medio alto,0.744680206,
1107,Alto Hospicio,Iquique,Tarapacá,0.8664,0.1183,0.6803,0.4115,117,Medio,0.847414512,
1401,Pozo Almonte,Tamarugal,Tarapacá,0.755,0.0953,0.5812,0.3471,200,Medio bajo,0.815096953,
1402,Camiña,Tamarugal,Tarapacá,0.4806,0.0438,0.6085,0.2339,322,Bajo,0.926406926,
1403,Colchane,Tamarugal,Tarapacá,0.386,0.0301,0.4912,0.1787,339,Bajo,0.85625,
1404,Huara,Tamarugal,Tarapacá,0.583,0.0416,0.5284,0.234,321,Bajo,0.908888889,
1405,Pica,Tamarugal,Tarapacá,0.787,0.0774,0.5719,0.3266,220,Medio bajo,0.816053512,
2101,Antofagasta,Antofagasta,Antofagasta,0.9261,0.3383,0.7536,0.618,9,Medio alto,0.741031104,
2102,Mejillones,Antofagasta,Antofagasta,0.8755,0.1268,0.5601,0.3962,128,Medio,0.756001574,
2103,Sierra Gorda,Antofagasta,Antofagasta,0.8664,0.0665,0.5271,0.3119,237,Medio bajo,0.74906367,
2104,Taltal,Antofagasta,Antofagasta,0.8169,0.1304,0.5594,0.3906,134,Medio,0.846187748,
2201,Calama,El Loa,Antofagasta,0.8869,0.2503,0.7598,0.5525,27,Medio alto,0.742383107,
2202,Ollagüe,El Loa,Antofagasta,0.6779,0.0557,0.4334,0.2538,307,Bajo,0.8,
2203,San Pedro de Atacama,El Loa,Antofagasta,0.7268,0.0941,0.6262,0.3499,192,Medio bajo,0.805750799,
2301,Tocopilla,Tocopilla,Antofagasta,0.8682,0.1428,0.638,0.4292,98,Medio,0.859892384,
2302,María Elena,Tocopilla,Antofagasta,0.9335,0.0903,0.623,0.3745,150,Medio bajo,0.74185766,
3101,Copiapó,Copiapó,Atacama,0.9095,0.2363,0.7537,0.5451,32,Medio alto,0.83727221,
3102,Caldera,Copiapó,Atacama,0.8466,0.0901,0.6406,0.3656,164,Medio bajo,0.888320289,
3103,Tierra Amarilla,Copiapó,Atacama,0.7098,0.092,0.536,0.3271,219,Medio bajo,0.915789474,
3201,Chañaral,Chañaral,Atacama,0.8379,0.0977,0.6094,0.3681,161,Medio bajo,0.879351266,
3202,Diego de Almagro,Chañaral,Atacama,0.888,0.1465,0.6599,0.4411,89,Medio,0.768033946,
3301,Vallenar,Huasco,Atacama,0.8466,0.1305,0.7619,0.4382,94,Medio,0.870516096,
3302,Alto del Carmen,Huasco,Atacama,0.6876,0.0497,0.5419,0.2647,296,Bajo,0.933680104,
3303,Freirina,Huasco,Atacama,0.7111,0.0568,0.5426,0.2799,281,Bajo,0.924006908,
