CUT,Municipality,Province,Region,Metropolitan_Area,Health and social welfare,Economy and resources,Education,CDI,Ranking,Ranges,SVI,SPI,Poverty,Multidimensional poverty,PHLBS
15101,Arica,Arica,Arica y Parinacota,No_Metropolitan_Area,0.8896,0.2322,0.763,0.5401,37,Medio alto,0.851635052,,0.0834,0.2112,0.103
15102,Camarones,Arica,Arica y Parinacota,No_Metropolitan_Area,0.3901,0.0556,0.4317,0.2108,331,Bajo,0.776785714,,0.088,0.5869,0.813
15201,Putre,Parinacota,Arica y Parinacota,No_Metropolitan_Area,0.5063,0.065,0.534,0.26,302,Bajo,0.905405405,,0.145,0.5032,0.72
15202,General Lagos,Parinacota,Arica y Parinacota,No_Metropolitan_Area,0.2656,0.022,0.5127,0.1443,342,Bajo,0.854545455,,0.21,0.672,0.987
1101,Iquique,Iquique,Tarapacá,No_Metropolitan_Area,0.8957,0.3218,0.7469,0.5993,12,Medio alto,0.744680206,,0.0438,0.1974,0.156
1107,Alto Hospicio,Iquique,Tarapacá,No_Metropolitan_Area,0.8664,0.1183,0.6803,0.4115,117,Medio,0.847414512,,0.0776,0.2755,0.193
1401,Pozo Almonte,Tamarugal,Tarapacá,No_Metropolitan_Area,0.755,0.0953,0.5812,0.3471,200,Medio bajo,0.815096953,,0.1088,0.3881,0.35
1402,Camiña,Tamarugal,Tarapacá,No_Metropolitan_Area,0.4806,0.0438,0.6085,0.2339,322,Bajo,0.926406926,,0.2645,0.5182,0.728
1403,Colchane,Tamarugal,Tarapacá,No_Metropolitan_Area,0.386,0.0301,0.4912,0.1787,339,Bajo,0.85625,,0.1395,0.6351,0.877
1404,Huara,Tamarugal,Tarapacá,No_Metropolitan_Area,0.583,0.0416,0.5284,0.234,321,Bajo,0.908888889,,0.1882,0.4654,0.45
1405,Pica,Tamarugal,Tarapacá,No_Metropolitan_Area,0.787,0.0774,0.5719,0.3266,220,Medio bajo,0.816053512,,0.0863,0.3226,0.325
2101,Antofagasta,Antofagasta,Antofagasta,No_Metropolitan_Area,0.9261,0.3383,0.7536,0.618,9,Medio alto,0.741031104,,0.0506,0.1658,0.09
2102,Mejillones,Antofagasta,Antofagasta,No_Metropolitan_Area,0.8755,0.1268,0.5601,0.3962,128,Medio,0.756001574,,0.0766,0.2199,0.147
2103,Sierra Gorda,Antofagasta,Antofagasta,No_Metropolitan_Area,0.8664,0.0665,0.5271,0.3119,237,Medio bajo,0.74906367,,0.0141,0.2526,0.307
2104,Taltal,Antofagasta,Antofagasta,No_Metropolitan_Area,0.8169,0.1304,0.5594,0.3906,134,Medio,0.846187748,,0.0351,0.2601,0.243
2201,Calama,El Loa,Antofagasta,No_Metropolitan_Area,0.8869,0.2503,0.7598,0.5525,27,Medio alto,0.742383107,,0.0459,0.1367,0.195
2202,Ollagüe,El Loa,Antofagasta,No_Metropolitan_Area,0.6779,0.0557,0.4334,0.2538,307,Bajo,0.8,,0.2019,0.3527,0.447
2203,San Pedro de Atacama,El Loa,Antofagasta,No_Metropolitan_Area,0.7268,0.0941,0.6262,0.3499,192,Medio bajo,0.805750799,,0.0404,0.2205,0.539
2301,Tocopilla,Tocopilla,Antofagasta,No_Metropolitan_Area,0.8682,0.1428,0.638,0.4292,98,Medio,0.859892384,,0.104,0.2008,0.168
2302,María Elena,Tocopilla,Antofagasta,No_Metropolitan_Area,0.9335,0.0903,0.623,0.3745,150,Medio bajo,0.74185766,,0.0499,0.185,0.038
3101,Copiapó,Copiapó,Atacama,No_Metropolitan_Area,0.9095,0.2363,0.7537,0.5451,32,Medio alto,0.83727221,,0.0626,0.2333,0.111
3102,Caldera,Copiapó,Atacama,No_Metropolitan_Area,0.8466,0.0901,0.6406,0.3656,164,Medio bajo,0.888320289,,0.1044,0.2035,0.139
3103,Tierra Amarilla,Copiapó,Atacama,No_Metropolitan_Area,0.7098,0.092,0.536,0.3271,219,Medio bajo,0.915789474,,0.1425,0.3141,0.32
3201,Chañaral,Chañaral,Atacama,No_Metropolitan_Area,0.8379,0.0977,0.6094,0.3681,161,Medio bajo,0.879351266,,0.1207,0.2523,0.173
3202,Diego de Almagro,Chañaral,Atacama,No_Metropolitan_Area,0.888,0.1465,0.6599,0.4411,89,Medio,0.768033946,,0.0756,0.1784,0.099
3301,Vallenar,Huasco,Atacama,No_Metropolitan_Area,0.8466,0.1305,0.7619,0.4382,94,Medio,0.870516096,,0.0883,0.2121,0.199
3302,Alto del Carmen,Huasco,Atacama,No_Metropolitan_Area,0.6876,0.0497,0.5419,0.2647,296,Bajo,0.933680104,,0.1527,0.2825,0.411
3303,Freirina,Huasco,Atacama,No_Metropolitan_Area,0.7111,0.0568,0.5426,0.2799,281,Bajo,0.924006908,,0.1573,0.3286,0.305
3304,Huasco,Huasco,Atacama,No_Metropolitan_Area,0.8378,0.0755,0.5866,0.3335,214,Medio bajo,0.863663308,,0.0972,0.1735,0.155
4101,La Serena,Elqui,Coquimbo,No_Metropolitan_Area,0.8909,0.2785,0.7814,0.5788,19,Medio alto,0.834099393,,0.1024,0.2013,0.083
4102,Coquimbo,Elqui,Coquimbo,No_Metropolitan_Area,0.8609,0.218,0.7443,0.5189,47,Medio alto,0.877571631,,0.1341,0.1803,0.124
4103,Andacollo,Elqui,Coquimbo,No_Metropolitan_Area,0.7962,0.0531,0.6483,0.3016,254,Medio bajo,0.898102981,,0.1485,0.2615,0.202
4104,La Higuera,Elqui,Coquimbo,No_Metropolitan_Area,0.6189,0.0506,0.505,0.251,309,Bajo,0.951638066,,0.2054,0.4025,0.52
4105,Paiguano,Elqui,Coquimbo,No_Metropolitan_Area,0.8018,0.0647,0.5776,0.3107,242,Medio bajo,0.930269414,,0.1048,0.2073,0.224
4106,Vicuña,Elqui,Coquimbo,No_Metropolitan_Area,0.8554,0.074,0.637,0.3429,203,Medio bajo,0.90950324,,0.1225,0.2321,0.135
4201,Illapel,Choapa,Coquimbo,No_Metropolitan_Area,0.8036,0.0859,0.6717,0.3593,178,Medio bajo,0.861052999,,0.1202,0.2536,0.224
4202,Canela,Choapa,Coquimbo,No_Metropolitan_Area,0.523,0.0283,0.5978,0.2069,332,Bajo,0.919066148,,0.251,0.4346,0.488
4203,Los Vilos,Choapa,Coquimbo,No_Metropolitan_Area,0.811,0.0806,0.6429,0.3477,199,Medio bajo,0.896479243,,0.1381,0.2948,0.156
4204,Salamanca,Choapa,Coquimbo,No_Metropolitan_Area,0.8089,0.0845,0.6206,0.3487,197,Medio bajo,0.84724799,,0.1253,0.2721,0.216
4301,Ovalle,Limarí,Coquimbo,No_Metropolitan_Area,0.8733,0.1154,0.7591,0.4245,101,Medio,0.890832887,,0.0574,0.2612,0.154
4302,Combarbalá,Limarí,Coquimbo,No_Metropolitan_Area,0.7014,0.047,0.6288,0.2747,286,Bajo,0.907571802,,0.1621,0.3347,0.312
4303,Monte Patria,Limarí,Coquimbo,No_Metropolitan_Area,0.7233,0.0537,0.6416,0.2922,269,Medio bajo,0.936767169,,0.2136,0.335,0.309
4304,Punitaqui,Limarí,Coquimbo,No_Metropolitan_Area,0.5965,0.0524,0.6561,0.2736,290,Bajo,0.932330827,,0.2516,0.3597,0.367
4305,Río Hurtado,Limarí,Coquimbo,No_Metropolitan_Area,0.7163,0.0331,0.5525,0.2358,318,Bajo,0.948364888,,0.1719,0.3997,0.342
5101,Valparaíso,Valparaíso,Valparaíso,No_Metropolitan_Area,0.903,0.2627,0.7397,0.5598,24,Medio alto,0.88745761,,0.0708,0.191,0.116
5102,Casablanca,Valparaíso,Valparaíso,No_Metropolitan_Area,0.8469,0.1338,0.7241,0.4346,95,Medio,0.860429109,,0.0892,0.1693,0.114
5103,Concón,Valparaíso,Valparaíso,No_Metropolitan_Area,0.9381,0.2755,0.7843,0.5874,17,Medio alto,0.825353751,,0.0242,0.1713,0.103
5104,Juan Fernández,Valparaíso,Valparaíso,No_Metropolitan_Area,0.9071,0.0755,0.6855,0.3608,172,Medio bajo,0.858895706,,0.0512,0.1757,0.157
5105,Puchuncaví,Valparaíso,Valparaíso,No_Metropolitan_Area,0.7035,0.1042,0.5904,0.3511,190,Medio bajo,0.91503006,,0.0845,0.2794,0.321
5107,Quintero,Valparaíso,Valparaíso,No_Metropolitan_Area,0.7947,0.1062,0.6561,0.3812,142,Medio bajo,0.900978239,,0.0529,0.2691,0.225
