ID_RBD,DV_RBD,DS_NOM_ESTABLE,ID_REGION_ESTABLE,DS_REGION_ESTABLE,ID_PROVINCIA_ESTABLE,DS_PROVINCIA_ESTABLE,ID_COMUNA_ESTABLE,DS_COMUNA_ESTABLE,ID_TIPO_DEPENDENCIA,DS_TIPO_DEPENDENCIA,ID_RURALIDAD,DS_RURALIDAD, PRIMERA PRIORIDAD , SEGUNDA PRIORIDAD , TERCERA PRIORIDAD , NO PRIORIZADO EN VULNERABILIDAD , SIN INFORMACION ,TOTAL MATRICULA BÁSICA DIC 2020,IVE-SINAE BÁSICA 2021
5,1,JOVINA NARANJO FERNANDEZ,15,Región de Arica y Parinacota,151,Arica,15101,Arica,6,Servicio Local de Educación(SLE),0,Urbano, 171 , 2 , 29 , 39 , 1 , 242 ,83.47107438
8,6,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,15,Región de Arica y Parinacota,151,Arica,15101,Arica,6,Servicio Local de Educación(SLE),0,Urbano, 222 , 7 , 20 , 22 , 21 , 292 ,85.2739726
9,4,ESCUELA REPUBLICA DE ISRAEL,15,Región de Arica y Parinacota,151,Arica,15101,Arica,6,Servicio Local de Educación(SLE),0,Urbano, 905 , 26 , 93 , 248 , 4 ," 1,276 ",80.2507837
10,8,ESCUELA REPUBLICA DE FRANCIA,15,Región de Arica y Parinacota,151,Arica,15101,Arica,6,Servicio Local de Educación(SLE),0,Urbano, 113 , 4 , 10 , 15 , 25 , 167 ,76.04790419
11,6,ESC. GRAL. PEDRO LAGOS MARCHANT,15,Región de Arica y Parinacota,151,Arica,15101,Arica,6,Servicio Local de Educación(SLE),0,Urbano, 288 , 1 , 5 , 7 , 8 , 309 ,95.14563107
12,4,ESCUELA GRAL JOSE MIGUEL CARRERA,15,Región de Arica y Parinacota,151,Arica,15101,Arica,6,Servicio Local de Educación(SLE),0,Urbano, 221 , 4 , 19 , 27 , 5 , 276 ,88.4057971
13,2,ESCUELA MANUEL RODRIGUEZ ERDOYZA,15,Región de Arica y Parinacota,151,Arica,15101,Arica,6,Servicio Local de Educación(SLE),0,Urbano, 203 , 1 , 7 , 13 , 7 , 231 ,91.34199134
14,0,ESCUELA ROMULO J. PENA MATURANA,15,Región de Arica y Parinacota,151,Arica,15101,Arica,6,Servicio Local de Educación(SLE),0,Urbano, 216 , 17 , 8 , 23 , 27 , 291 ,82.81786942
15,9,LICEO ARTISTICO DR. JUAN NOE CREVANI,15,Región de Arica y Parinacota,151,Arica,15101,Arica,6,Servicio Local de Educación(SLE),0,Urbano, 202 , 8 , 20 , 40 ,, 270 ,85.18518519
16,7,ESCUELA REGIMIENTO RANCAGUA,15,Región de Arica y Parinacota,151,Arica,15101,Arica,6,Servicio Local de Educación(SLE),0,Urbano, 185 , 8 , 10 , 29 , 28 , 260 ,78.07692308
17,5,ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,15,Región de Arica y Parinacota,151,Arica,15101,Arica,6,Servicio Local de Educación(SLE),0,Urbano, 265 , 6 , 14 , 37 , 18 , 340 ,83.82352941
18,3,ESC. COMTE. JUAN JOSE SAN MARTIN,15,Región de Arica y Parinacota,151,Arica,15101,Arica,6,Servicio Local de Educación(SLE),0,Urbano, 247 , 5 , 12 , 16 , 12 , 292 ,90.4109589
19,1,ESC. HUMBERTO VALENZUELA GARCIA,15,Región de Arica y Parinacota,151,Arica,15101,Arica,6,Servicio Local de Educación(SLE),0,Urbano, 229 , 2 , 8 , 13 , 5 , 257 ,92.99610895
20,5,ESCUELA TUCAPEL,15,Región de Arica y Parinacota,151,Arica,15101,Arica,6,Servicio Local de Educación(SLE),0,Urbano, 318 , 9 , 19 , 25 , 16 , 387 ,89.40568475
22,1,ESCUELA GABRIELA MISTRAL,15,Región de Arica y Parinacota,151,Arica,15101,Arica,6,Servicio Local de Educación(SLE),0,Urbano, 659 , 15 , 47 , 66 , 8 , 795 ,90.6918239
25,6,COLEGIO CENTENARIO DE ARICA,15,Región de Arica y Parinacota,151,Arica,15101,Arica,6,Servicio Local de Educación(SLE),0,Urbano, 408 , 9 , 14 , 27 , 10 , 468 ,92.09401709
26,4,ESCUELA REPUBLICA DE ARGENTINA,15,Región de Arica y Parinacota,151,Arica,15101,Arica,6,Servicio Local de Educación(SLE),0,Urbano, 170 , 3 , 7 , 24 , 13 , 217 ,82.94930876
27,2,ESCUELA ESMERALDA,15,Región de Arica y Parinacota,151,Arica,15101,Arica,6,Servicio Local de Educación(SLE),0,Urbano, 202 , 3 , 11 , 32 , 33 , 281 ,76.8683274
28,0,ESCUELA RICARDO SILVA ARRIAGADA,15,Región de Arica y Parinacota,151,Arica,15101,Arica,6,Servicio Local de Educación(SLE),0,Urbano, 279 , 8 , 45 , 73 , 3 , 408 ,81.37254902
29,9,ESCUELA AMERICA,15,Región de Arica y Parinacota,151,Arica,15101,Arica,6,Servicio Local de Educación(SLE),0,Urbano, 312 , 17 , 14 , 37 , 35 , 415 ,82.65060241
31,0,ESCUELA DARIO SALAS DIAZ,15,Región de Arica y Parinacota,151,Arica,15101,Arica,6,Servicio Local de Educación(SLE),1,Rural, 292 , 8 , 11 , 17 , 9 , 337 ,92.28486647
32,9,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,15,Región de Arica y Parinacota,151,Arica,15101,Arica,6,Servicio Local de Educación(SLE),1,Rural, 420 , 12 , 28 , 27 , 13 , 500 ,92
33,7,ESCUELA CARLOS CONDELL DE LA HAZA,15,Región de Arica y Parinacota,151,Arica,15101,Arica,6,Servicio Local de Educación(SLE),1,Rural, 150 , 9 , 2 , 6 , 1 , 168 ,95.83333333
35,3,ESCUELA GRAL. MANUEL BAQUEDANO,15,Región de Arica y Parinacota,151,Arica,15101,Arica,6,Servicio Local de Educación(SLE),1,Rural, 58 , 4 , 3 , 11 , 3 , 79 ,82.27848101
36,1,ESCUELA IGNACIO CARRERA PINTO,15,Región de Arica y Parinacota,151,Arica,15101,Arica,6,Servicio Local de Educación(SLE),0,Urbano, 185 , 6 , 9 , 27 , 15 , 242 ,82.6446281
38,8,ESCUELA ESPAÑA,15,Región de Arica y Parinacota,151,Arica,15101,Arica,6,Servicio Local de Educación(SLE),1,Rural, 392 , 17 , 8 , 10 , 2 , 429 ,97.2027972
39,6,ESCUELA PAMPA ALGODONAL,15,Región de Arica y Parinacota,151,Arica,15101,Arica,6,Servicio Local de Educación(SLE),1,Rural, 40 , 2 , 7 , 12 , 4 , 65 ,75.38461538
41,8,ESCUELA VALLE DE CHACA,15,Región de Arica y Parinacota,151,Arica,15101,Arica,6,Servicio Local de Educación(SLE),1,Rural, 30 , 6 , 2 , 2 , 4 , 44 ,86.36363636
42,6,ESCUELA MOLINOS LLUTA,15,Región de Arica y Parinacota,151,Arica,15101,Arica,6,Servicio Local de Educación(SLE),1,Rural, 14 , 1 ,, 3 , 1 , 19 ,78.94736842
45,0,COLEGIO ITALIANO SANTA ANA,15,Región de Arica y Parinacota,151,Arica,15101,Arica,3,Particular Subvencionado,0,Urbano, 399 , 10 , 53 , 97 , 9 , 568 ,81.33802817
50,7,COLEGIO ADVENTISTA DE ARICA,15,Región de Arica y Parinacota,151,Arica,15101,Arica,3,Particular Subvencionado,0,Urbano, 254 , 10 , 28 , 68 ,, 360 ,81.11111111
52,3,LICEO BICENTENARIO DOMINGO SANTA MARIA,15,Región de Arica y Parinacota,151,Arica,15101,Arica,3,Particular Subvencionado,0,Urbano," 1,379 ", 48 , 161 , 237 , 60 ," 1,885 ",84.24403183
56,6,COLEGIO SAN MARCOS DE ARICA,15,Región de Arica y Parinacota,151,Arica,15101,Arica,3,Particular Subvencionado,0,Urbano, 274 , 12 , 47 , 281 , 20 , 634 ,52.52365931
60,4,COLEGIO ALEMAN DE ARICA,15,Región de Arica y Parinacota,151,Arica,15101,Arica,3,Particular Subvencionado,0,Urbano, 361 , 12 , 38 , 131 , 6 , 548 ,75
67,1,ABRAHAM LINCOLN SCHOOL,15,Región de Arica y Parinacota,151,Arica,15101,Arica,3,Particular Subvencionado,0,Urbano, 304 , 12 , 61 , 178 , 6 , 561 ,67.20142602
70,1,ESCUELA VALLE DE ESQUINA,15,Región de Arica y Parinacota,151,Arica,15102,Camarones,6,Servicio Local de Educación(SLE),1,Rural, 5 ,,,, 4 , 9 ,55.55555556
72,8,LICEO VALLE DE CODPA,15,Región de Arica y Parinacota,151,Arica,15102,Camarones,6,Servicio Local de Educación(SLE),1,Rural, 25 , 4 , 2 , 5 , 9 , 45 ,68.88888889
73,6,ESCUELA VALLE DE COBIJA,15,Región de Arica y Parinacota,151,Arica,15102,Camarones,6,Servicio Local de Educación(SLE),1,Rural, 2 ,,,,, 2 ,100
